timestamp,latitude,longitude,speed_kmh,course_deg
1788638722000,28.43273786,77.02119031,30.27,90.0
1788638723000,28.43273785,77.02127553,29.38,90.0
1788638724000,28.43273785,77.02136075,28.54,90.0
1788638725000,28.43273785,77.02144598,27.83,90.0
1788638726000,28.43273784,77.02153120,27.31,90.0
1788638727000,28.43273784,77.02161643,27.04,90.0
1788638728000,28.43273783,77.02170165,27.03,90.0
1788638729000,28.43273783,77.02178687,27.28,90.0
1788638730000,28.43273783,77.02187210,27.78,90.0
1788638731000,28.43273782,77.02195732,28.48,90.0
1788638732000,28.43273782,77.02204254,29.31,90.0
1788638733000,28.43273781,77.02212777,30.20,90.0
1788638734000,28.43273781,77.02221299,31.08,90.0
1788638735000,28.43273780,77.02229821,31.86,90.0
1788638736000,28.43273780,77.02238344,32.47,90.0
1788638737000,28.43273779,77.02246866,32.86,90.0
1788638738000,28.43273779,77.02255388,33.00,90.0
1788638739000,28.43273779,77.02263911,32.87,90.0
1788638740000,28.43273778,77.02272433,32.48,90.0
1788638741000,28.43273778,77.02280955,31.87,90.0
1788638742000,28.43273777,77.02289478,31.10,90.0
1788638743000,28.43273777,77.02298000,30.22,90.0
1788638744000,28.43273776,77.02306522,29.33,90.0
1788638745000,28.43273776,77.02315045,28.49,90.0
1788638746000,28.43273775,77.02323567,27.80,90.0
1788638747000,28.43273775,77.02332089,27.29,90.0
1788638748000,28.43273774,77.02340612,27.03,90.0
1788638749000,28.43273773,77.02349134,27.04,90.0
1788638750000,28.43273773,77.02357656,27.31,90.0
1788638751000,28.43273772,77.02366179,27.81,90.0
1788638752000,28.43273772,77.02374701,28.52,90.0
1788638753000,28.43273771,77.02383223,29.36,90.0
1788638754000,28.43273771,77.02391746,30.25,90.0
1788638755000,28.43273770,77.02400268,31.12,90.0
1788638756000,28.43273770,77.02408790,31.90,90.0
1788638757000,28.43273769,77.02417313,32.50,90.0
